Label, Easting, Northing, Ellip Height
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0122_6.tif, 2613323.853055, 1127946.081302,   685.1482
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0123_6.tif, 2613322.469714, 1127942.050151,   685.0601
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0124_6.tif, 2613320.181339, 1127935.401985,   684.9131
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0125_6.tif, 2613318.963042, 1127931.871430,   684.8343
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0126_6.tif, 2613317.420974, 1127927.359338,   684.7316
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0127_6.tif, 2613315.548391, 1127921.859893,   684.6074
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0128_6.tif, 2613314.293341, 1127918.159558,   684.5255
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0129_6.tif, 2613312.361932, 1127912.474336,   684.3851
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0130_6.tif, 2613310.986087, 1127908.430080,   684.2804
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0131_6.tif, 2613309.704615, 1127904.682237,   684.1888
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0132_6.tif, 2613307.228451, 1127897.378281,   684.0131
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0133_6.tif, 2613306.155173, 1127894.193485,   683.9374
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0134_6.tif, 2613304.687127, 1127889.871668,   683.8291
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0135_6.tif, 2613302.311458, 1127882.944876,   683.6429
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0136_6.tif, 2613301.238930, 1127879.846317,   683.5541
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0137_6.tif, 2613299.477869, 1127874.783036,   683.3468
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0138_6.tif, 2613297.723969, 1127869.728327,   683.1366
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0139_6.tif, 2613296.170308, 1127865.228339,   682.9437
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0140_6.tif, 2613294.240632, 1127859.622019,   682.7105
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0141_6.tif, 2613292.833257, 1127855.526571,   682.5422
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0142_6.tif, 2613291.619829, 1127851.986275,   682.3982
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0143_6.tif, 2613289.040666, 1127844.467478,   682.0756
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0144_6.tif, 2613287.910200, 1127841.173927,   681.9288
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0145_6.tif, 2613286.427978, 1127836.875683,   681.7453
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0146_6.tif, 2613283.146509, 1127827.294433,   681.3453
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0147_6.tif, 2613282.987151, 1127826.827823,   681.3260
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0148_6.tif, 2613281.348143, 1127821.981845,   681.1197
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0149_6.tif, 2613279.572204, 1127816.768004,   680.9231
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0150_6.tif, 2613278.567166, 1127813.849300,   680.8323
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0151_6.tif, 2613276.089736, 1127806.712566,   680.6849
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0152_6.tif, 2613274.685416, 1127802.664160,   680.6612
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0153_6.tif, 2613273.467647, 1127799.085404,   680.6456
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0154_6.tif, 2613270.915264, 1127791.417566,   680.6337
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0155_6.tif, 2613268.627568, 1127784.682873,   680.6391
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0156_6.tif, 2613268.213105, 1127783.481410,   680.6367
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0157_6.tif, 2613266.035614, 1127777.175002,   680.6310
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0158_6.tif, 2613265.019905, 1127774.254242,   680.6536
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0159_6.tif, 2613263.848613, 1127769.828725,   680.6681
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0160_6.tif, 2613266.472731, 1127766.582012,   680.6557
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0161_6.tif, 2613270.556674, 1127766.081629,   680.6682
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0162_6.tif, 2613274.847140, 1127768.662547,   680.6552
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0163_6.tif, 2613275.548385, 1127770.761258,   680.6372
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0164_6.tif, 2613277.658945, 1127777.900270,   680.6376
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0165_6.tif, 2613279.391361, 1127783.149098,   680.6544
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0166_6.tif, 2613280.652388, 1127786.927751,   680.6645
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0167_6.tif, 2613282.947363, 1127793.560178,   680.6693
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0168_6.tif, 2613284.410796, 1127797.801862,   680.6559
